"filename", "language", "C++", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"c:\code\LibraryManageSystem\.vs\LibraryManageSystem\v17\DocumentLayout.json", "JSON", 0, 0, 139, 0, 0, 0, 139
"c:\code\LibraryManageSystem\.vs\ProjectSettings.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"c:\code\LibraryManageSystem\.vs\VSWorkspaceState.json", "JSON", 0, 0, 7, 0, 0, 0, 7
"c:\code\LibraryManageSystem\LibraryManageSystem.code-workspace", "JSON with Comments", 0, 0, 0, 123, 2, 0, 125
"c:\code\LibraryManageSystem\README.md", "Markdown", 0, 162, 0, 0, 0, 86, 248
"c:\code\LibraryManageSystem\data\Book.json", "JSON", 0, 0, 1336, 0, 0, 0, 1336
"c:\code\LibraryManageSystem\data\User.json", "JSON", 0, 0, 228, 0, 0, 0, 228
"c:\code\LibraryManageSystem\data\User.md", "Markdown", 0, 4, 0, 0, 0, 4, 8
"c:\code\LibraryManageSystem\include\Book.h", "C++", 63, 0, 0, 0, 1, 5, 69
"c:\code\LibraryManageSystem\include\BookSystem.h", "C++", 26, 0, 0, 0, 5, 8, 39
"c:\code\LibraryManageSystem\include\LibrarySystem.h", "C++", 22, 0, 0, 0, 3, 5, 30
"c:\code\LibraryManageSystem\include\User.h", "C++", 63, 0, 0, 0, 8, 11, 82
"c:\code\LibraryManageSystem\include\UserSystem.h", "C++", 27, 0, 0, 0, 6, 9, 42
"c:\code\LibraryManageSystem\include\nlohmann\adl_serializer.hpp", "C++", 33, 0, 0, 0, 14, 9, 56
"c:\code\LibraryManageSystem\include\nlohmann\byte_container_with_subtype.hpp", "C++", 63, 0, 0, 0, 22, 19, 104
"c:\code\LibraryManageSystem\include\nlohmann\detail\abi_macros.hpp", "C++", 72, 0, 0, 0, 11, 18, 101
"c:\code\LibraryManageSystem\include\nlohmann\detail\conversions\from_json.hpp", "C++", 427, 0, 0, 0, 21, 50, 498
"c:\code\LibraryManageSystem\include\nlohmann\detail\conversions\to_chars.hpp", "C++", 490, 0, 0, 0, 503, 126, 1119
"c:\code\LibraryManageSystem\include\nlohmann\detail\conversions\to_json.hpp", "C++", 372, 0, 0, 0, 23, 52, 447
"c:\code\LibraryManageSystem\include\nlohmann\detail\exceptions.hpp", "C++", 184, 0, 0, 0, 43, 31, 258
"c:\code\LibraryManageSystem\include\nlohmann\detail\hash.hpp", "C++", 93, 0, 0, 0, 19, 18, 130
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\binary_reader.hpp", "C++", 2360, 0, 0, 0, 365, 285, 3010
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\input_adapters.hpp", "C++", 367, 0, 0, 0, 58, 68, 493
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\json_sax.hpp", "C++", 457, 0, 0, 0, 161, 110, 728
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\lexer.hpp", "C++", 1199, 0, 0, 0, 262, 173, 1634
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\parser.hpp", "C++", 372, 0, 0, 0, 83, 65, 520
"c:\code\LibraryManageSystem\include\nlohmann\detail\input\position_t.hpp", "C++", 18, 0, 0, 0, 12, 8, 38
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\internal_iterator.hpp", "C++", 14, 0, 0, 0, 16, 6, 36
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\iter_impl.hpp", "C++", 489, 0, 0, 0, 172, 91, 752
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\iteration_proxy.hpp", "C++", 170, 0, 0, 0, 39, 34, 243
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\iterator_traits.hpp", "C++", 42, 0, 0, 0, 9, 11, 62
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\json_reverse_iterator.hpp", "C++", 67, 0, 0, 0, 43, 21, 131
"c:\code\LibraryManageSystem\include\nlohmann\detail\iterators\primitive_iterator.hpp", "C++", 89, 0, 0, 0, 21, 23, 133
"c:\code\LibraryManageSystem\include\nlohmann\detail\json_custom_base_class.hpp", "C++", 15, 0, 0, 0, 17, 8, 40
"c:\code\LibraryManageSystem\include\nlohmann\detail\json_pointer.hpp", "C++", 653, 0, 0, 0, 229, 107, 989
"c:\code\LibraryManageSystem\include\nlohmann\detail\json_ref.hpp", "C++", 55, 0, 0, 0, 8, 16, 79
"c:\code\LibraryManageSystem\include\nlohmann\detail\macro_scope.hpp", "C++", 389, 0, 0, 0, 49, 45, 483
"c:\code\LibraryManageSystem\include\nlohmann\detail\macro_unscope.hpp", "C++", 31, 0, 0, 0, 9, 6, 46
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\call_std\begin.hpp", "C++", 5, 0, 0, 0, 7, 6, 18
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\call_std\end.hpp", "C++", 5, 0, 0, 0, 7, 6, 18
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\cpp_future.hpp", "C++", 81, 0, 0, 0, 59, 32, 172
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\detected.hpp", "C++", 47, 0, 0, 0, 8, 16, 71
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\identity_tag.hpp", "C++", 8, 0, 0, 0, 8, 6, 22
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\is_sax.hpp", "C++", 128, 0, 0, 0, 7, 25, 160
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\std_fs.hpp", "C++", 19, 0, 0, 0, 7, 4, 30
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\type_traits.hpp", "C++", 549, 0, 0, 0, 98, 149, 796
"c:\code\LibraryManageSystem\include\nlohmann\detail\meta\void_t.hpp", "C++", 12, 0, 0, 0, 7, 6, 25
"c:\code\LibraryManageSystem\include\nlohmann\detail\output\binary_writer.hpp", "C++", 1449, 0, 0, 0, 220, 170, 1839
"c:\code\LibraryManageSystem\include\nlohmann\detail\output\output_adapters.hpp", "C++", 109, 0, 0, 0, 12, 27, 148
"c:\code\LibraryManageSystem\include\nlohmann\detail\output\serializer.hpp", "C++", 680, 0, 0, 0, 193, 116, 989
"c:\code\LibraryManageSystem\include\nlohmann\detail\string_concat.hpp", "C++", 110, 0, 0, 0, 8, 29, 147
"c:\code\LibraryManageSystem\include\nlohmann\detail\string_escape.hpp", "C++", 31, 0, 0, 0, 34, 8, 73
"c:\code\LibraryManageSystem\include\nlohmann\detail\value_t.hpp", "C++", 57, 0, 0, 0, 51, 11, 119
"c:\code\LibraryManageSystem\include\nlohmann\json.hpp", "C++", 3490, 0, 0, 0, 1161, 608, 5259
"c:\code\LibraryManageSystem\include\nlohmann\json_fwd.hpp", "C++", 32, 0, 0, 0, 31, 13, 76
"c:\code\LibraryManageSystem\include\nlohmann\ordered_map.hpp", "C++", 275, 0, 0, 0, 39, 46, 360
"c:\code\LibraryManageSystem\include\nlohmann\thirdparty\hedley\hedley.hpp", "C++", 1891, 0, 0, 0, 16, 139, 2046
"c:\code\LibraryManageSystem\include\nlohmann\thirdparty\hedley\hedley_undef.hpp", "C++", 149, 0, 0, 0, 7, 3, 159
"c:\code\LibraryManageSystem\src\Book.cpp", "C++", 39, 0, 0, 0, 1, 2, 42
"c:\code\LibraryManageSystem\src\BookSystem.cpp", "C++", 656, 0, 0, 0, 6, 19, 681
"c:\code\LibraryManageSystem\src\LibrarySystem.cpp", "C++", 299, 0, 0, 0, 16, 13, 328
"c:\code\LibraryManageSystem\src\User.cpp", "C++", 58, 0, 0, 0, 4, 4, 66
"c:\code\LibraryManageSystem\src\UserSystem.cpp", "C++", 448, 0, 0, 0, 9, 20, 477
"c:\code\LibraryManageSystem\src\main.cpp", "C++", 38, 0, 0, 0, 0, 6, 44
"Total", "-", 19387, 166, 1713, 123, 4250, 3012, 28651
